round,global_accuracy,global_loss,round_duration_s,participating_clients,bytes_sent,bytes_received,messages_sent,messages_received,mean_local_loss,mean_local_accuracy
1,0.9318181818181818,0.3577616512775421,0.006480077000105666,10,41280,41360,10,10,0.05984388273209333,0.9867996201329534
2,0.9375,0.29730793833732605,0.005819583999937095,10,41280,41360,10,10,0.03159638792276383,1.0
3,0.9375,0.2742941379547119,0.005842022000024372,10,41280,41360,10,10,0.028871613554656506,1.0
4,0.9318181818181818,0.25479763746261597,0.005619133999971382,10,41280,41360,10,10,0.02844609832391143,0.9991452991452991
5,0.9318181818181818,0.23792003095149994,0.005602533000001131,10,41280,41360,10,10,0.025757472030818462,1.0
6,0.9318181818181818,0.22811360657215118,0.005803150000019741,10,41280,41360,10,10,0.023757769633084534,1.0
7,0.9375,0.22274938225746155,0.005579154000088238,10,41280,41360,10,10,0.022571702487766743,1.0
8,0.9431818181818182,0.21577595174312592,0.005673746999946161,10,41280,41360,10,10,0.03071859376505017,0.9984615384615385
9,0.9375,0.2154015600681305,0.005761083000152212,10,41280,41360,10,10,0.02011990360915661,1.0
10,0.9488636363636364,0.20573000609874725,0.005606277999959275,10,41280,41360,10,10,0.027446026168763637,1.0
11,0.9488636363636364,0.20094351470470428,0.005621132999976908,10,41280,41360,10,10,0.019971152860671283,1.0
12,0.9488636363636364,0.19880050420761108,0.005599054000185788,10,41280,41360,10,10,0.017947530280798672,1.0
13,0.9488636363636364,0.19420915842056274,0.0057022230000711716,10,41280,41360,10,10,0.019117552600800992,1.0
14,0.9488636363636364,0.1950109601020813,0.005716797999866685,10,41280,41360,10,10,0.017630020808428525,1.0
15,0.9488636363636364,0.1949927657842636,0.005637707000005321,10,41280,41360,10,10,0.01828732630237937,0.9984615384615385
16,0.9488636363636364,0.19545505940914154,0.006792228999984218,10,41280,41360,10,10,0.01595630431547761,1.0
17,0.9545454545454546,0.19389763474464417,0.00634217699985129,10,41280,41360,10,10,0.016278000082820654,1.0
18,0.9545454545454546,0.1907428354024887,0.005632958999967741,10,41280,41360,10,10,0.01624244460836053,1.0
19,0.9488636363636364,0.19255408644676208,0.005556840999815904,10,41280,41360,10,10,0.015297570265829563,1.0
20,0.9545454545454546,0.1881648451089859,0.005888204000029873,10,41280,41360,10,10,0.01672704955562949,1.0
21,0.9488636363636364,0.1905905157327652,0.005557511999995768,10,41280,41360,10,10,0.015245022624731064,1.0
22,0.9431818181818182,0.19047926366329193,0.007584854000015184,10,41280,41360,10,10,0.014350832160562276,1.0
23,0.9431818181818182,0.18910382688045502,0.005766133999941303,10,41280,41360,10,10,0.014393307268619537,1.0
24,0.9431818181818182,0.1879793256521225,0.005525834000081886,10,41280,41360,10,10,0.01360298516228795,1.0
25,0.9431818181818182,0.1874653697013855,0.005664404999834005,10,41280,41360,10,10,0.013813220709562302,1.0
