round,global_accuracy,global_loss,round_duration_s,participating_clients,bytes_sent,bytes_received,messages_sent,messages_received,mean_local_loss,mean_local_accuracy
1,0.9375,0.4146730601787567,0.004135170999916227,20,82560,21200,20,20,0.03612918446306139,0.999537037037037
2,0.9431818181818182,0.33761006593704224,0.004128755000010642,20,82560,21200,20,20,0.0693783585451456,0.9881084656084657
3,0.9375,0.2937626838684082,0.0039190930000359,20,82560,21200,20,20,0.03956585699634161,0.9942857142857143
4,0.9431818181818182,0.27061283588409424,0.004008294000072965,20,82560,21200,20,20,0.030527939705645223,0.9985714285714286
5,0.9375,0.261142760515213,0.004046554000069591,20,82560,21200,20,20,0.026232558116319638,1.0
6,0.9375,0.24746055901050568,0.0039587260000644164,20,82560,21200,20,20,0.02461163183915005,1.0
7,0.9375,0.237098827958107,0.004001685000048383,20,82560,21200,20,20,0.028800436551841814,1.0
8,0.9375,0.23174311220645905,0.004021390000048086,20,82560,21200,20,20,0.023547021567480897,1.0
9,0.9261363636363636,0.22972416877746582,0.004003706999924361,20,82560,21200,20,20,0.028805115644786383,1.0
10,0.9318181818181818,0.2260252833366394,0.003973882000082085,20,82560,21200,20,20,0.021854255546429613,1.0
11,0.9375,0.22883620858192444,0.004022530999918672,20,82560,21200,20,20,0.020842117002666784,1.0
12,0.9318181818181818,0.21603059768676758,0.004120100999898568,20,82560,21200,20,20,0.02192507616173316,1.0
13,0.9318181818181818,0.21756035089492798,0.004009595000070476,20,82560,21200,20,20,0.019427403202496408,1.0
14,0.9261363636363636,0.21819047629833221,0.004040216000021246,20,82560,21200,20,20,0.019445938214630587,1.0
15,0.9261363636363636,0.2169107347726822,0.004002346999982365,20,82560,21200,20,20,0.018861050863415586,1.0
16,0.9375,0.21088777482509613,0.004081171999928301,20,82560,21200,20,20,0.017967831468922668,1.0
17,0.9431818181818182,0.21256814897060394,0.004017332999978862,20,82560,21200,20,20,0.01879468953702599,1.0
18,0.9318181818181818,0.20881690084934235,0.0039869179998959225,20,82560,21200,20,20,0.018299850680341477,1.0
19,0.9318181818181818,0.2077288180589676,0.004053806999991139,20,82560,21200,20,20,0.016966607840004144,1.0
20,0.9375,0.20879369974136353,0.004068197000037799,20,82560,21200,20,20,0.016318206007781555,1.0
21,0.9318181818181818,0.20720654726028442,0.003896951000001536,20,82560,21200,20,20,0.01601327290482004,1.0
22,0.9318181818181818,0.2096998244524002,0.004044404999945073,20,82560,21200,20,20,0.016919939636136406,1.0
23,0.9318181818181818,0.21214233338832855,0.004097216999980446,20,82560,21200,20,20,0.01596945107303327,1.0
24,0.9375,0.21174383163452148,0.004096780000054423,20,82560,21200,20,20,0.01566321278369287,1.0
25,0.9375,0.21439038217067719,0.00393683200002215,20,82560,21200,20,20,0.015891914040548728,1.0
