round,global_accuracy,global_loss,round_duration_s,participating_clients,bytes_sent,bytes_received,messages_sent,messages_received,mean_local_loss,mean_local_accuracy
1,0.9261363636363636,0.4358784556388855,0.004170646000034139,20,82560,10920,20,20,0.034800630922836716,0.9994444444444445
2,0.9375,0.3446487486362457,0.003910229999974035,20,82560,10920,20,20,0.03604406118392944,0.9986507936507937
3,0.9375,0.3049180805683136,0.0039009189999887894,20,82560,10920,20,20,0.048884566267952324,0.9972222222222222
4,0.9318181818181818,0.27780577540397644,0.0038988210000070467,20,82560,10920,20,20,0.059593793703243136,0.9857142857142858
5,0.9431818181818182,0.2504546046257019,0.0037746830000742193,20,82560,10920,20,20,0.028652001824229955,0.9972222222222222
6,0.9318181818181818,0.2490682154893875,0.003767569000046933,20,82560,10920,20,20,0.2564359786454588,0.9638888888888889
7,0.9375,0.23904961347579956,0.004655061999983445,20,82560,10920,20,20,0.16766289023216813,0.9722222222222222
8,0.9318181818181818,0.23815570771694183,0.004295264999996107,20,82560,10920,20,20,0.17390012037940322,0.9638888888888889
9,0.9375,0.2217288464307785,0.0038443619999952716,20,82560,10920,20,20,0.02349422296974808,1.0
10,0.9375,0.214179128408432,0.003819045999989612,20,82560,10920,20,20,0.022770545072853567,1.0
11,0.9375,0.21389055252075195,0.00409368100008578,20,82560,10920,20,20,0.023704911931417882,1.0
12,0.9375,0.208266481757164,0.00404826699991645,20,82560,10920,20,20,0.020183680043555797,1.0
13,0.9375,0.2045685350894928,0.004058135999912338,20,82560,10920,20,20,0.15972043455112725,0.9638888888888889
14,0.9375,0.199459969997406,0.004116760999977487,20,82560,10920,20,20,0.019931556866504253,1.0
15,0.9431818181818182,0.1992335468530655,0.004777503000013894,20,82560,10920,20,20,0.02720829895697534,0.9972222222222222
16,0.9488636363636364,0.1956268697977066,0.004172041000060744,20,82560,10920,20,20,0.018832187075167893,1.0
17,0.9375,0.1976286768913269,0.004234514000017953,20,82560,10920,20,20,0.13382841609418392,0.9694444444444444
18,0.9375,0.19445405900478363,0.004308250000008229,20,82560,10920,20,20,0.018155444716103374,1.0
19,0.9375,0.18927305936813354,0.004007982000075572,20,82560,10920,20,20,0.05974058464635164,0.9972222222222222
20,0.9318181818181818,0.1885257363319397,0.004143655000007129,20,82560,10920,20,20,0.0529764880426228,0.9861111111111112
21,0.9375,0.18638242781162262,0.00445293000007041,20,82560,10920,20,20,0.017110804724507035,1.0
22,0.9375,0.18681417405605316,0.004215265999960138,20,82560,10920,20,20,0.016926755430176854,1.0
23,0.9318181818181818,0.18536019325256348,0.004139899000051628,20,82560,10920,20,20,0.02053104960359633,1.0
24,0.9375,0.18718229234218597,0.004112511000016639,20,82560,10920,20,20,0.01616917971987277,1.0
25,0.9375,0.18691088259220123,0.004147868000018207,20,82560,10920,20,20,0.015882029407657684,1.0
